Code client;Nom client;adresse livraison
003983;CAP DES TERRITOIRES HAUTS DE FRANCE;12 RUE DE PARIS, 62300 LENS
003832;LES AMIS DE CINECOMEDIES;12 RUE DE PARIS, 62300 LENS
080038;BIERES DE CHIMAY FRANCE SAS;12 RUE DENIS PAPIN, 59650 VILLENEUVE D'ASCQ
004239;COMPTOIR DES COPAINS;12 RUE DES FOSSES, 59000 LILLE
004449;L'ATELIER D'ALEX;12 RUE DES ORFEVRES, 80000 AMIENS
002724;ATOUTIME - GAMM VERT CRECY EN PONTHIEU;12 RUE DU GAL DE GAULLE, 80150 CRECY EN PONTHIEU
001885;MORLET - LA CIVETTE;12 RUE DU MARECHAL LECLERC, 62300 LENS
002761;ATOUTIME GAMM VERT ROSIERES 457;12 RUE GAMBETTA, 80170 ROSIERES EN SANTERRE
004108;CHEZ KARINE;12 RUE JEAN BART, 59140 DUNKERQUE
093253;BILLY ET CO;12 RUE MONTGOLFIER, 62420 BILLY MONTIGNY
004022;SAS BOUCHERIE GALLET;12 RUE PRINCIPALE, 62127 TINCQUES
002142;RUET PASCAL - CAFE SAINT ANTOINE;12 RUE SAINT ANTOINE, 59122 LES MOERES
080080;SPRING VALLEY;12/16 AVENUE SIMON BOLIVAR, 75019 PARIS 19EME ARRONDISSEMENT
200172;BRASSERIE 3 MONTS;121 RUE DE LA CHAPELLE, 59114 SAINT SYLVESTRE CAPPEL
004042;VITALREST EHPAD LE JARDIN D'ALLIUM;121 RUE DES BLONGIOS, 59151 ARLEUX
003668;RCA FOOTBALL;122 RUE LOUIS THUILLIER, 80000 AMIENS
001606;EURALYS - JDEA;123 RUE DE BETHUNE, 59253 LA GORGUE
450846;MAIRIE DE ST HILAIRE COTTES;123 RUE DE L EGLISE, 62120 ST HILAIRE COTTES
003960;AJCVINS SAS;125 BD DU DR JULES POUGET, 62520 LE TOUQUET PARIS PLAGE
099090;HABER FRANCE ETS;125 RUE D'ALFORVILLE, 94600 CHOISY LE ROI
004729;AD BOISSONS;125 RUE DIDEROT, 93700 DRANCY
002325;CONSEIL DEPARTEMENTAL DU PAS DE CALAIS;126 RUE D'AMIENS, 62000 ARRAS
004323;BISTROT TAO SASU;126 RUE DU MOLINEL, 59000 LILLE
002575;ATOUTIME;1260 ALLEE DES ATREBATES, 62223 ATHIES
001568;LES ARCADES ------PASCAL;128 RUE DE METZ, 62520 LE TOUQUET PARIS PLAGE
004720;ASS AMICALE DU PERSONNEL COMMUNAL;12B RUE EDMOND MILLE, 62330 ISBERGUES
000838;CENTRE HOSPITALIER D HESDIN;13 BD RICHELIEU, 62140 HESDIN
450817;CAUWET PHILIPPE;13 BIS RUE DE AUCHY AU BOIS, 62120 ST HILAIRE COTTES
003804;SHOW TIIIME;13 BIS RUE DE WISSOCQ, 62500 ST OMER
002281;DEPARTEMENT DU NORD;13 CHEMIN DU LYCEE, 59190 HAZEBROUCK
003462;GENDARMERIE ABBEVILLE;13 RUE ALFRED FRANCOIS, 80100 ABBEVILLE
004326;THE WALLACE CONNECTION;13 RUE ALFRED FRANCOIS, 80100 ABBEVILLE
201049;COLLEGE ANGELLIER;13 RUE CAZIN, 62200 BOULOGNE SUR MER
