Code client;Nom client;adresse livraison;Latitude;Longitude
1182;AU VETERAN - MELONI PASCAL;208 RUE INGRES, 59100 ROUBAIX;50,6764572;3,183486
2021;EPDSAE - MEF ROUBAIX-TOURCOING;49 BOULEVARD DE FOURMIES, 59100 ROUBAIX;50,6763304;3,1804288
2343;EPDSAE - MEF ROUBAIX TOURCOING;43 AVENUE GUSTAVE DELORY, 59100 ROUBAIX;50,6759385;3,1705417
4632;BO JARDIN - LE BACCHUS;6 RUE DU PROFESSEUR PERRIN, 59170 CROIX;50,6738868;3,1460846
98210;VANDENDRIESSCHE ETS SARL;RUE DU MEUNIER, 59193 ERQUINGHEM LYS;50,6729831;2,8312476
3459;CANAILLE.S;5 RUE RAYMOND DERAIN, 59700 MARCQ EN BAROEUL;50,67181;3,0937827
4515;CAP DES TERRITOIRES HAUTS DE FRANCE;55 RUE DU VIEUX FOUR, 59700 MARCQ EN BAROEUL;50,6713243;3,0760374
53170;AUBERGE DE MUSSENT SARL;345 RUE DE THEROUANNE, 62129 ECQUES;50,6709488;2,2673374
10350;C.C.A.S DE ROQUETOIRE;50 PLACE DE LA MAIRIE, 62120 ROQUETOIRE;50,6708976;2,3427675
60514;LEBRIEZ BRUNO LA ROQUESTORIENNE;RUE D'AIRE, 62120 ROQUETOIRE;50,6705168;2,343839
59751;CAFE LE ROQUE COMPTOIR;68 RUE DE L' EGLISE, 62120 ROQUETOIRE;50,6702048;2,3422624
80062;CELESTIN - LA MICRO-BRASSERIE SAS;27 RUE FELIX FAURE, 59520 MARQUETTE LEZ LILLE;50,6693414;3,0563439
4077;SAS HOTEL CLERY;CHATEAU D'HESDIN L'ABBE, 62360 HESDIN L ABBE;50,6691845;1,6798181
60189;JC TRANSPORTS SARL;982 RUE D'AIRE, 62120 ROQUETOIRE;50,6691668;2,3454949
4630;LE VIEUX MOULIN;35 RUE SADI CARNOT, 59290 WASQUEHAL;50,6688676;3,1317369
4649;CONSEIL DEPARTEMENTAL DU PAS DE CALAIS;8 ROUTE DE BOULOGNE, 62240 LONGFOSSE;50,6685032;1,823257
60950;CAFE DE LA PLACE - MME MOREAU ANNIE;24 PLACE LEON BLUM, 62240 DESVRES;50,6683667;1,8330731
59921;GODART GUY CAFE;5 PLACE DE LA MAIRIE, 62129 INGHEM;50,6677348;2,2430325
4437;CREPERIE FLEUR DE SEL;48 RUE JULES GUESDE, 59700 MARCQ EN BAROEUL;50,6676835;3,0737902
1370;EPSM AGGLOMERATION LILLOISE;4 RUE DE QUESNOY, 59520 MARQUETTE LEZ LILLE;50,667133;3,044164
1372;EPSM AGGLOMERATION LILLOISE;4 RUE DE QUESNOY, 59520 MARQUETTE LEZ LILLE;50,667133;3,044164
1806;EPDSAE - MEF ROUBAIX TOURCOING;190 AVENUE CHARLES DE GAULLE, 59510 HEM;50,6655752;3,1835007
98137;ZEN DISTRIBUTIONS EURL;1476 RUE DE MAMETZ, 62120 ROQUETOIRE;50,6640607;2,3315817
2970;CAFE DU COMMERCE;154 RUE DE MAMETZ, 62120 ROQUETOIRE;50,6640607;2,3315817
2973;LE COMMERCE VAE;154 RUE DE MAMETZ, 62120 ROQUETOIRE;50,6640607;2,3315817
98138;PACK & CO SAS;1800 RUE DE MAMETZ, 62120 ROQUETOIRE;50,6640607;2,3315817
12960;LOURDEL SA;RUE DU STADE, 62120 ROQUETOIRE;50,6632122;2,3524824
2479;ATOUTIME - GAMM VERT DESVRES 058;ROUTE DE SAMER, 62240 DESVRES;50,6632036;1,8455111
4231;CAP DES TERRITOIRES HAUTS DE FRANCE;100 RUE DU GENERAL LECLERC, 59350 ST ANDRE LEZ LILLE;50,6629801;3,0504375
55000;AU RÉCONFORT - CAROLINE PRUVOT;11 RUE DE L'EGLISE, 62380 VAUDRINGHEM;50,6621901;2,0293754
2654;LES GOURMETS DU CROISE;19 PLACE DU GENERAL LECLERC, 59700 MARCQ EN BAROEUL;50,6616173;3,1032502
450714;CREPIN TONY;301 RUE DE LIGNE, 62120 ROQUETOIRE;50,6614352;2,3240513
97000;BRASSERIE COQ HARDI;900 AVENUE DE LA REPUBLIQUE, 59700 MARCQ EN BAROEUL;50,6601629;3,0941168
2669;HGL BOTANIC HESDIGNEUL;39 ROUTE DE PONT DE BRIQUES, 62360 HESDIGNEUL LES BOULOGNE;50,6601361;1,6639726
4204;CAP DES TERRITOIRES HAUTS DE FRANCE;65 RUE DU GENERAL LECLERC, 59350 ST ANDRE LEZ LILLE;50,6595781;3,051462
